BARCODE,BATCHNO,STOCKNO,CLOSINGQTY
11011,SECOND,SEC-1,106
11012,SECONDS,SEC-1,294
11013,SECOND,SEC-2,175
11014,SECONDS,SEC-2,99
11015,2F-D-R4-115,BCO1962,1
11016,2F-D-R4-116,BCO1962,10
11017,2F-D-R4-124,BCO1962,11
11018,2F-D-R4-127,BCO1962,5
11019,2F-D-R4-128,BCO1962,9
11020,2F-D-R4-149,BCO1962,12
11021,FLOOR,BCO1962,2
11022,2F-D-R4-115,BCO1963,8
11023,2F-D-R4-116,BCO1963,15
11024,2F-D-R4-124,BCO1963,14
11025,2F-D-R4-127,BCO1963,12
11026,2F-D-R4-128,BCO1963,27
11027,2F-D-R4-149,BCO1963,13
11028,FLOOR,BCO1963,5
11029,2F-D-R4-115,BCO1964,12
11030,2F-D-R4-116,BCO1964,16
11031,2F-D-R4-124,BCO1964,22
11032,2F-D-R4-127,BCO1964,28
11033,2F-D-R4-128,BCO1964,17
11034,2F-D-R4-149,BCO1964,17
11035,FLOOR,BCO1964,4
11036,2F-D-R4-115,BCO1965,11
11037,2F-D-R4-116,BCO1965,22
11038,2F-D-R4-124,BCO1965,13
11039,2F-D-R4-127,BCO1965,13
11040,2F-D-R4-128,BCO1965,11
11041,2F-D-R4-149,BCO1965,19
